In|Insert|around|
e|enter|around|
endi|ending|around|
ent|enter|around|
begg|beginning|around|
cur|cursor|around|
bin|bindings|around|
ins|insert|around|
en|enter|around|
De|Delete|around|
ins|insert|around|
in|insert|around|
spa|spawn|around|
xdo|xdotool|around|
en|enter|around|
no|normal|around|
wa|wal_conky|file|
conk|conky|file|
con|config|around|
foreg|foreground|buffer|
back|background|buffer|
c|conky.conf|file|
conk|conky|file|
|bin|file|
v|voffset|around|
of|offset|around|
o|offset|around|
ma|maximum_width|around|
vof|voffset|around|
San|Sans|around|
Fan|Fantasque|around|
F|Forward|around|
F|Forward|around|
Ha|Hack|around|
Ha|Hack|around|
For|Forward|around|
For|Forward|around|
F|Forward|around|
Fo|Forward|around|
tty|ttyclock|around|
loa|load_polybar|file|
la|launch.sh|file|
pol|polybar|file|
|bin|file|
samu|samuel_shades|file|
samu|samuel_shades|file|
sam|samuel_shades|file|
sam|samuel_shades|file|
sam|samuel_shades|file|
samu|samuel_shades|file|
sa|samuel_shades|around|
sam|samuel_shades|around|
sam|samuel_shades|around|
pol|polybar|around|
sha|shades_wal.sh|file|
samuel|samuel_shades|around|
pol|polybar|file|
con|config|around|
co|config|around|
pol|polybar|around|
gra|grayblocks|around|
la|launch.sh|file|
pol|polybar|file|
pl|plank|file|
con|config|around|
sha|shades_wal.sh|file|
sc|scripts|file|
gr|grayblocks|file|
pol|polybar|file|
con|config|around|
Pi|Pictures|file|
Cai|Cairo|around|
Cai|Cairo|around|
P|Plank|around|
sh|shade1|around|
col|color|around|
overli|overline|around|
sh|shade7|around|
col|color|around|
sha|shade7|around|
colo|color|around|
back|background|around|
colo|color|around|
ba|background|around|
back|background|around|
back|background|around|
back|background|around|
con|content|around|
sha|shade7|around|
coo|color|around|
back|background|around|
labl|label|around|
sha|shade7|around|
sha|shade2|around|
back|background|around|
sha|shade7|around|
sha|shade2|around|
back|background|around|
back|background|around|
sha|shade7|around|
shad|shade3|around|
back|background|around|
back|background|around|
sha|shade7|around|
shad|shade1|around|
back|background|around|
sha|shade7|around|
back|background|around|
sha|shade7|around|
back|background|around|
backg|background|around|
fore|foreground|around|
sha|shade7|around|
sha|shade2|around|
sha|shade7|around|
shade|shade4|around|
sha|shade7|around|
sha|shade4|around|
shad|shade3|around|
fore|foreground|around|
fore|foreground|around|
shade|shade7|around|
fore|foreground|around|
shade|shade7|around|
shade|shade2|around|
fore|foreground|around|
ba|background|around|
eh|echo|around|
cou|counter|around|
HE|HEX_SHADE|around|
